name,version,type,licenses,supplier,properties
unicode-rs/unicode-width,0.1.9,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: e3271a0e-2455-447a-9397-9075f32d1c91, BlackDuck-ComponentVersion: f004dbe4-e9af-4ef8-a972-48c75c0ef4f4, BlackDuck-ComponentOrigin: c6f05f24-fd5f-40c1-a18d-820eef4a2edf"
unicode-rs/unicode-xid,0.1.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 299a52ee-ba1d-4555-9c80-352a3f7ac122, BlackDuck-ComponentVersion: 866d510c-98b3-40c2-a2e9-d8fdfe52e8cc, BlackDuck-ComponentOrigin: 84bed27a-e3cc-43cc-bdf4-8eff567039e0"
unicode-rs/unicode-xid,0.2.4,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 299a52ee-ba1d-4555-9c80-352a3f7ac122, BlackDuck-ComponentVersion: 1882aaf0-d1d7-4f96-ad37-ca9b340b6b72, BlackDuck-ComponentOrigin: 85d883fb-f27c-46e8-b9a4-048678e6bdb1"
UniversalAdbDriver,master-20130801,library,Apache-2.0,"","BlackDuck-Component: 51b5724c-8fe2-4212-bf33-1805ed11ca0d, BlackDuck-ComponentVersion: acf74a6d-a962-4cf3-8ec3-d1c742df5735"
UNKNOWN SNIPPET ORIGIN (CUSTOM),Unspecified,library,None,"","BlackDuck-Component: 3bb30c17-6c0b-4032-b7e3-63ae485f1ee4, BlackDuck-ComponentVersion: 88de054c-7884-4200-b729-b7c3b846f71d"
unsafe-libyaml,0.2.4,library,MIT,Organization: crates,"BlackDuck-Component: 2477c629-173b-4be4-931e-e5fc36cb4cc7, BlackDuck-ComponentVersion: 221df8d2-795a-409a-bafc-2b113afffb8f, BlackDuck-ComponentOrigin: c42a37f3-db6f-4fba-82ba-1242c654da0d"
utf-8,0.7.6,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: db8aec9e-d45b-4f91-aebe-3c4fb995d36c, BlackDuck-ComponentVersion: 287c7455-082f-4e4a-8ef2-ca0c5b459887, BlackDuck-ComponentOrigin: eb53f7a3-06f7-4f79-b3ef-1044b1202423"
uuid-rs/uuid,0.8.2,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 1c23e31d-52f1-4a37-b244-bad022dcdd91, BlackDuck-ComponentVersion: c06b6d4a-e2a4-4aed-a12d-7dc77b4d44ee, BlackDuck-ComponentOrigin: b0e9a5f3-9b32-4aa8-8eed-6acb374680ea"
uuid-rs/uuid,1.2.1,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 1c23e31d-52f1-4a37-b244-bad022dcdd91, BlackDuck-ComponentVersion: 9050fe3a-8441-466b-93aa-ff302c0ad081, BlackDuck-ComponentOrigin: cbed7a22-e3f1-4483-a6fd-2c087883a1e1"
valgrind,3.13.0,library,None,"","BlackDuck-Component: f10406eb-8a93-4695-91e9-cee00dc8237a, BlackDuck-ComponentVersion: b76e21f7-a1e7-45a9-b947-1a588b0bd11c"
valgrind,3.6.0,library,None,"","BlackDuck-Component: f10406eb-8a93-4695-91e9-cee00dc8237a, BlackDuck-ComponentVersion: 9d2a9ca7-d1fd-40bf-9797-e6ac0dd56d7e"
vcpkg-rs,0.2.10,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 73aaf469-0330-47c9-ab8d-e69ef4d09a25, BlackDuck-ComponentVersion: f4b034e5-9a45-4c65-978c-bc788efe88c9, BlackDuck-ComponentOrigin: f79c5f48-67ef-43c2-8db0-0434865e98ef"
wait-timeout,0.2.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: b8504943-39c7-48ea-8106-7f0dc074e96a, BlackDuck-ComponentVersion: dadab947-a205-4133-9500-08db08500b6c, BlackDuck-ComponentOrigin: 94c2c310-aca3-4a71-a85e-334c02d9525f"
waker-fn,1.1.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 8768a834-44c2-41c6-aa52-2998623103d9, BlackDuck-ComponentVersion: 112087c8-d39a-4941-8793-2dee1a48358b, BlackDuck-ComponentOrigin: 4497860a-9462-4874-beb0-8b26358021c6"
wasi,0.10.0+wasi-snapshot-preview1,library,"Apache-2.0, MIT, None",Organization: crates,"BlackDuck-Component: 3c64e648-c070-4ded-8ce3-4ca50837d291, BlackDuck-ComponentVersion: 8dc8069c-803e-4df9-8b97-1d98abe62198, BlackDuck-ComponentOrigin: 9244c1f3-c803-4de9-9f79-07b51cf57c68"
wasi,0.11.0+wasi-snapshot-preview1,library,"Apache-2.0, MIT, None",Organization: crates,"BlackDuck-Component: 3c64e648-c070-4ded-8ce3-4ca50837d291, BlackDuck-ComponentVersion: dcca6aff-8806-48a2-a6f7-d10bc4d18110, BlackDuck-ComponentOrigin: b7a73d84-69ee-4e9c-ad6a-9ff14eda5a1a"
wasi,0.9.0+wasi-snapshot-preview1,library,"Apache-2.0, MIT, None",Organization: crates,"BlackDuck-Component: 3c64e648-c070-4ded-8ce3-4ca50837d291, BlackDuck-ComponentVersion: b254a3b5-4c96-46ce-a65e-014e3cec73bd, BlackDuck-ComponentOrigin: 5311dd46-1f74-4922-8e84-9b141429ae56"
wasm-bindgen,0.2.79,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 4a7c246a-f559-44a6-bbeb-bf64cb489a68, BlackDuck-ComponentVersion: d43885bb-c27c-4158-adfc-cf3e64a951dc, BlackDuck-ComponentOrigin: 1e0e8d13-7de9-4905-be0c-b08de1a3ba71"
wasm-bindgen,0.3.56,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 4a7c246a-f559-44a6-bbeb-bf64cb489a68, BlackDuck-ComponentVersion: c2e254af-e391-4ae6-914c-2cf5f28533ce, BlackDuck-ComponentOrigin: 0fe9636f-46c9-4211-9cdc-a71b4808fbc8"
wasm-bindgen-macro,0.2.79,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 23501d52-ad31-4ec0-bcaf-b1e7bc13cf59, BlackDuck-ComponentVersion: 1513f709-f26d-4d68-88d5-7d88183c8251, BlackDuck-ComponentOrigin: a9f243c4-b2a7-4f67-bb15-cf81ae1a9acc"
wasm-bindgen-macro-support,0.2.79,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 1947626b-8e55-48aa-9565-6d063622dde2, BlackDuck-ComponentVersion: 0ad9ba45-cd2a-409e-abd1-f37912450392, BlackDuck-ComponentOrigin: 4f8e74ca-c014-43b9-902a-040322971cfa"
wasm-bindgen-shared,0.2.79,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: 8210e42f-e1d2-4a5a-a0ba-ea2fd23768d6, BlackDuck-ComponentVersion: 2c46b163-cf00-4568-a8de-7afe8efe73ea, BlackDuck-ComponentOrigin: 6ac6c592-aab3-492e-8923-8520ca795e0a"
websocket-client,1.0,library,LGPL-2.1-or-later,"","BlackDuck-Component: e1ae6db0-5318-4c25-bb39-1da45eaf851c, BlackDuck-ComponentVersion: fa7a719f-2cfc-4926-b8fd-c49666ef018a"
WebSocket client API,1.0,library,"None, CDDL-1.1",Organization: maven,"BlackDuck-Component: 559d796c-3e9e-40c6-b394-763838d1d088, BlackDuck-ComponentVersion: 2409628b-f73c-4a67-9f24-16ca3ed30904, BlackDuck-ComponentOrigin: 6e7c1182-6b7e-417f-99eb-6d9f5186de37"
winapi-i686-pc-windows-gnu,0.4.0,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: a9f2794d-4fee-480b-a3db-879a91c9538c, BlackDuck-ComponentVersion: e7ac664a-db8f-4377-91d7-0aa4abfaa69a, BlackDuck-ComponentOrigin: f4bf0874-2790-4dde-9d42-b37af5c71089"
winapi-rs,0.3.9,library,"Apache-2.0, MIT",Organization: crates,"BlackDuck-Component: bbb544f8-c05d-4381-a068-bf335d29ef1a, BlackDuck-ComponentVersion: 5de61e5a-435c-4181-96d2-1d26fdce18fd, BlackDuck-ComponentOrigin: 3f1f8cf2-c26b-43b7-afdc-671fd5bd40fa"
