windows_i686_msvc : 0.48.5 --> not listed
windows_i686_msvc : 0.52.5 --> not listed
windows_x86_64_gnu : 0.48.5 --> not listed
windows_x86_64_gnu : 0.52.5 --> not listed
windows_x86_64_gnullvm : 0.48.5 --> not listed
windows_x86_64_gnullvm : 0.52.5 --> not listed
windows_x86_64_msvc : 0.48.5 --> not listed
windows_x86_64_msvc : 0.52.5 --> not listed
winreg : 0.52.0 --> not listed
write16 : 1.0.0 --> not listed
writeable : 0.5.5 --> not listed
yoke : 0.7.4 --> not listed
yoke-derive : 0.7.4 --> not listed
zerofrom : 0.1.4 --> not listed
zerofrom-derive : 0.1.4 --> not listed
zerovec : 0.10.2 --> not listed
zerovec-derive : 0.10.2 --> not listed
